time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2020-01-04,-1.9421297380682039,9.0,15.1,0.0,0.0,0.0,25.2,1.4710162445766044e-15,1018.6,1.888129461374556e-15,1,4,2020,-1.9254366268310854,0.0,1.4710162445766044e-15
2020-01-05,-1.9254366268310854,8.0,16.0,0.0,0.0,0.0,21.5,1.4710162445766044e-15,1018.6,1.888129461374556e-15,1,5,2020,-1.9421297380682039,0.0,1.4710162445766044e-15
2020-01-06,-1.6583468470371943,10.0,17.0,0.0,0.0,0.0,30.9,1.4710162445766044e-15,1015.5,1.888129461374556e-15,1,6,2020,-1.9254366268310854,0.0,1.4710162445766044e-15
2020-01-07,-1.8252779594083763,10.6,15.0,0.0,0.0,0.0,30.6,1.4710162445766044e-15,1015.7,1.888129461374556e-15,1,7,2020,-1.6583468470371943,0.0,1.4710162445766044e-15
2020-01-08,-1.8586641818826128,8.4,16.0,0.0,0.0,0.0,30.4,1.4710162445766044e-15,1017.5,1.888129461374556e-15,1,8,2020,-1.8252779594083763,0.0,1.4710162445766044e-15
2020-01-09,-1.8920504043568491,9.0,15.0,0.0,0.0,0.0,23.0,1.4710162445766044e-15,1016.8,1.888129461374556e-15,1,9,2020,-1.8586641818826128,0.0,1.4710162445766044e-15
2020-01-10,-1.8753572931197309,8.0,16.0,0.0,0.0,0.0,13.7,1.4710162445766044e-15,1018.4,1.888129461374556e-15,1,10,2020,-1.8920504043568491,0.0,1.4710162445766044e-15
2020-01-11,-1.7751986256970218,8.0,17.0,0.0,0.0,0.0,6.2,1.4710162445766044e-15,1024.2,1.888129461374556e-15,1,11,2020,-1.8753572931197309,0.0,1.4710162445766044e-15
2020-01-12,-1.4914157346660122,11.8,18.0,0.0,0.0,0.0,7.2,1.4710162445766044e-15,1024.4,1.888129461374556e-15,1,12,2020,-1.7751986256970218,0.0,1.4710162445766044e-15
2020-01-13,-1.541495068377367,10.0,18.0,0.0,0.0,0.0,6.9,1.4710162445766044e-15,1023.8,1.888129461374556e-15,1,13,2020,-1.4914157346660122,0.0,1.4710162445766044e-15
2020-01-14,-1.458029512191776,11.0,18.0,0.0,0.0,0.0,18.2,1.4710162445766044e-15,1023.0,1.888129461374556e-15,1,14,2020,-1.541495068377367,0.0,1.4710162445766044e-15
2020-01-15,-1.1408603986865302,12.0,21.0,0.0,0.0,0.0,26.4,1.4710162445766044e-15,1018.3,1.888129461374556e-15,1,15,2020,-1.458029512191776,0.0,1.4710162445766044e-15
2020-01-16,-1.2243259548721213,13.0,18.0,0.0,0.0,0.0,27.1,1.4710162445766044e-15,1013.1,1.888129461374556e-15,1,16,2020,-1.1408603986865302,0.0,1.4710162445766044e-15
2020-01-17,-1.5915744020887215,11.8,17.0,0.0,0.0,0.0,23.6,1.4710162445766044e-15,1015.1,1.888129461374556e-15,1,17,2020,-1.2243259548721213,0.0,1.4710162445766044e-15
2020-01-18,-1.5748812908516032,11.9,16.7,0.0,0.0,0.0,16.7,1.4710162445766044e-15,1018.4,1.888129461374556e-15,1,18,2020,-1.5915744020887215,0.0,1.4710162445766044e-15
2020-01-19,-1.6750399582743123,10.0,16.0,0.0,0.0,0.0,16.6,1.4710162445766044e-15,1020.6,1.888129461374556e-15,1,19,2020,-1.5748812908516032,0.0,1.4710162445766044e-15
