time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,14.1,10.1,17.0,,,,7.5,,1018.2,
2020-01-02,13.1,9.0,16.0,,,,15.8,,1017.0,
2020-01-03,11.8,8.0,15.0,,,,31.0,,1018.9,
2020-01-04,11.7,9.0,15.1,,,,25.2,,1018.6,
2020-01-05,11.8,8.0,16.0,,,,21.5,,1018.6,
2020-01-06,13.4,10.0,17.0,,,,30.9,,1015.5,
2020-01-07,12.4,10.6,15.0,,,,30.6,,1015.7,
2020-01-08,12.2,8.4,16.0,,,,30.4,,1017.5,
2020-01-09,12.0,9.0,15.0,,,,23.0,,1016.8,
2020-01-10,12.1,8.0,16.0,,,,13.7,,1018.4,
2020-01-11,12.7,8.0,17.0,,,,6.2,,1024.2,
2020-01-12,14.4,11.8,18.0,,,,7.2,,1024.4,
2020-01-13,14.1,10.0,18.0,,,,6.9,,1023.8,
2020-01-14,14.6,11.0,18.0,,,,18.2,,1023.0,
2020-01-15,16.5,12.0,21.0,,,,26.4,,1018.3,
2020-01-16,16.0,13.0,18.0,,,,27.1,,1013.1,
2020-01-17,13.8,11.8,17.0,,,,23.6,,1015.1,
2020-01-18,13.9,11.9,16.7,,,,16.7,,1018.4,
2020-01-19,13.3,10.0,16.0,,,,16.6,,1020.6,
2020-01-20,14.4,12.0,17.0,,,,17.3,,1025.5,
2020-01-21,13.2,11.0,16.0,,,,19.6,,1024.8,
2020-01-22,12.8,9.2,16.3,,,,10.6,,1023.8,
2020-01-23,12.8,8.0,16.0,,,,12.9,,1023.2,
2020-01-24,13.4,10.3,16.0,,,,19.3,,1023.4,
2020-01-25,11.4,6.1,17.0,,,,9.9,,1029.0,
2020-01-26,11.8,6.0,17.0,,,,17.8,,1028.6,
2020-01-27,12.7,7.0,19.0,,,,18.3,,1023.3,
2020-01-28,13.3,9.0,17.0,,,,8.0,,1019.8,
2020-01-29,14.9,10.0,18.3,,,,9.7,,1022.2,
2020-01-30,15.5,11.0,19.0,,,,8.3,,1022.0,
2020-01-31,14.6,11.0,19.0,,,,13.7,,1020.8,
2020-02-01,14.1,9.0,18.0,,,,9.6,,1022.2,
2020-02-02,14.6,9.0,19.0,,,,7.4,,1022.7,
2020-02-03,14.2,9.8,18.0,,,,11.5,,1021.8,
2020-02-04,15.3,11.0,19.0,,,,5.6,,1019.6,
2020-02-05,16.9,12.9,21.0,,,,20.6,,1015.2,
2020-02-06,18.3,16.0,22.0,,,,25.8,,1014.8,
2020-02-07,15.9,14.0,19.1,,,,20.9,,1018.1,
